FALSE_DATA,ageAtBirth,ageAtQ,ethnicity,marital,rural,edu,occClass,income,imd,home,belief,identity,identity_denom,attend,lca,climateChanging,climateConcern,climateHumans,climateAction,travel,waste,energy,buy,airTravel,elecCar,localFood,recycle,plastic,sustainable,insulation,solar,veg,trees,avoidFossil,children,otherAction,meatDairy,totalActions,totalActions_reduced
FALSE_DATA,33,62,White,Married,Urban,CSE/None,III (non-manual),300 - 399,Quin. 1/Least deprived,Other,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for some of it",Yes,No,Climate,Climate,Climate,No,No,No,Climate,Climate,No,Other,No,No,Other,Climate,No,No,No,6,6
FALSE_DATA,30,60,White,Married,Urban,Degree,I,300 - 399,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for all of it",Not sure,No,Climate,Other,No,No,Climate,Other,Climate,Climate,No,No,No,No,No,No,No,NA,No,4,3
FALSE_DATA,24,55,White,Married,Urban,O level,II,300 - 399,Quintile 3,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes probably,Very concerned,"Yes, for most of it",Not sure,No,Climate,Other,Other,No,No,No,No,No,NA,No,No,Climate,Other,No,No,No,No,NA,NA
FALSE_DATA,32,61,White,Never married,Urban,A level,III (non-manual),100 - 199,Quin. 1/Least deprived,Other,Yes,None,None,Occasional/None,Moderately religious,Yes definitely,Very concerned,"Yes, for all of it",No,Climate,Climate,Climate,Climate,Climate,No,Climate,Climate,Other,Other,Climate,No,No,No,No,No,NA,ClimateOther,9,7
FALSE_DATA,32,62,White,Married,Urban,Degree,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,Other,Climate,Climate,Climate,Other,No,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,No,No,ClimateOther,12,9
FALSE_DATA,31,62,White,Married,Urban,A level,II,>400,Quintile 2,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,Other,Other,Climate,Climate,Climate,No,Other,Climate,Climate,No,Other,No,Climate,Climate,No,No,No,NA,NA,NA
FALSE_DATA,32,62,White,Sep/Div/Widow,Urban,O level,II,100 - 199,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,Other,No,Climate,No,No,No,Other,Climate,Climate,Climate,Other,No,No,No,No,No,No,No,4,4
FALSE_DATA,26,56,White,Married,Urban,O level,III (non-manual),100 - 199,Quintile 2,Rented,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Climate,Other,No,No,No,No,Climate,ClimateOther,No,Climate,No,No,No,No,No,No,No,4,3
FALSE_DATA,29,58,White,Married,Urban,A level,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,Climate,No,Other,No,Climate,Climate,Climate,Climate,No,No,Other,No,No,No,NA,Other,6,6
FALSE_DATA,27,56,White,Married,Urban,O level,II,300 - 399,Quintile 2,Council/HA,Yes,Christian,Catholic,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for most of it",Yes,Other,Other,Other,No,Other,No,Other,No,Other,Other,Other,No,No,Other,No,No,No,Other,0,0
