FALSE_DATA,ageAtQ,sex,ethnicity,relationship,rural,edu,occClass,income,imd,home,politics_PCA1,politics_PCA2,belief,identity,identity_denom,attend,lca,climateChanging,climateConcern,climateHumans,climateAction,travel,waste,energy,buy,airTravel,elecCar,localFood,recycle,plastic,sustainable,insulation,solar,veg,trees,avoidFossil,children,otherAction,meatDairy,totalActions,totalActions_reduced
FALSE_DATA,29,Female,White,Yes,Rural,GCSE,Manager/Prof,£1000-£1499,Quintile 3,Owned/Mortgaged,-0.9219558083335853,1.0955082383970307,Yes,Christian,Catholic,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for all of it",Not sure,No,Climate,No,No,Other,No,Other,Climate,Climate,No,Other,No,Other,No,No,No,No,Other,3,3
FALSE_DATA,30,Male,White,No,Rural,A level,Intermediate,£500-£999,Quintile 2,Owned/Mortgaged,0.43907739809763113,-0.9138066425800353,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for all of it",Not sure,No,No,Climate,Other,No,No,Other,Climate,No,NA,Other,No,Other,No,No,No,No,Other,NA,NA
FALSE_DATA,29,Female,White,Yes,Rural,A level,Intermediate,£1500-£1999,Quintile 2,Owned/Mortgaged,0.2588771005147473,-0.613626775196036,Not sure,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Climate,Climate,Climate,No,No,Other,Climate,Climate,No,No,Climate,No,No,No,No,No,7,5
FALSE_DATA,30,Male,White,Yes,Urban,A level,Manager/Prof,£1500-£1999,Quin. 5/Most deprived,Owned/Mortgaged,-0.27245880285456137,-1.3399735438937792,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,No,No,Other,No,No,Other,Other,Climate,Climate,Other,No,Other,Climate,No,No,NA,No,3,3
FALSE_DATA,29,Female,White,Yes,Urban,A level,Intermediate,£1000-£1499,Quintile 4,Owned/Mortgaged,0.14748862309614041,-0.6204736043269152,Not sure,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Other,No,ClimateOther,No,No,Climate,Climate,Climate,No,No,Other,No,No,No,No,No,5,4
FALSE_DATA,31,Female,White,No,Urban,A level,Routine,£1500-£1999,Quintile 2,Rented,-0.41701754433747806,0.8938851462772925,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,No,No,Climate,No,Climate,No,No,NA,NA,NA
FALSE_DATA,29,Male,White,Yes,Urban,A level,Intermediate,£1000-£1499,Quintile 4,Owned/Mortgaged,0.14748862309614041,1.3619379485000431,No,None,None,Occasional/None,Atheist,Yes maybe,Somewhat concerned,"Yes, for most of it",Not sure,No,No,No,No,No,Climate,Other,No,No,No,No,No,No,No,No,No,NA,No,1,0
FALSE_DATA,29,Male,White,Yes,Urban,A level,Manager/Prof,<£500,Quin. 5/Most deprived,Owned/Mortgaged,-0.3884200061515888,-0.4120036830762978,No,None,None,Occasional/None,Atheist,Yes probably,Not at all concerned,"Yes, for most of it",Not sure,No,No,No,No,No,No,No,Climate,Climate,Climate,No,No,No,No,No,No,No,No,3,3
FALSE_DATA,30,Male,White,No,Urban,Degree,Intermediate,£500-£999,Quin. 5/Most deprived,Rented,-0.8786029769119547,-1.1734014901409704,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,Other,No,Climate,ClimateOther,No,No,Other,ClimateOther,No,Climate,No,No,No,No,No,No,No,ClimateOther,5,5
FALSE_DATA,30,Male,White,No,Urban,A level,Lower sup/tech,£1500-£1999,Quintile 2,Owned/Mortgaged,0.5505577348008979,1.0617580811160439,Yes,Christian,Catholic,Occasional/None,Moderately religious,Yes probably,Not at all concerned,"Yes, for some of it",No,Climate,Other,Climate,No,No,No,No,Other,No,No,No,No,No,No,No,No,No,Other,2,2
FALSE_DATA,30,Male,White,Yes,Urban,A level,Routine,£1500-£1999,Quin. 1/Least deprived,Owned/Mortgaged,-0.2887296800203496,0.7980608914385134,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Climate,Climate,ClimateOther,Other,No,No,Climate,Climate,Climate,Climate,No,No,Climate,Climate,No,No,No,Other,9,8
FALSE_DATA,30,Male,White,No,Urban,A level,Manager/Prof,£1500-£1999,Quin. 1/Least deprived,Rented,0.13545165273645277,0.04236742747349617,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,0
FALSE_DATA,30,Female,White,No,Urban,Degree,Manager/Prof,£1500-£1999,Quin. 1/Least deprived,Rented,0.8587562060404971,0.27374609920957943,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,No,No,No,Climate,Climate,Climate,No,No,No,Other,Climate,Other,No,Other,8,8
FALSE_DATA,30,Female,White,No,Urban,A level,Routine,£1000-£1499,Quintile 4,Rented,-0.41701754433747806,0.8938851462772925,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,No,No,ClimateOther,Climate,No,ClimateOther,No,ClimateOther,11,10
FALSE_DATA,30,Female,White,Yes,Urban,GCSE,Manager/Prof,£1000-£1499,Quin. 5/Most deprived,Owned/Mortgaged,0.2423376053411232,0.5964377993187753,Not sure,None,None,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for some of it",Yes,No,NA,Other,Climate,No,No,Other,Climate,Climate,No,ClimateOther,No,No,No,No,No,No,ClimateOther,NA,NA
FALSE_DATA,30,Female,White,No,Urban,Degree,Manager/Prof,£1000-£1499,Quintile 3,Rented,0.06037476404053213,-1.3509227151412537,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Climate,No,Climate,No,No,No,Climate,Climate,No,No,No,No,No,No,No,No,No,4,4
FALSE_DATA,30,Female,White,Yes,Urban,PostGrad,Manager/Prof,>£2000,Quintile 3,Owned/Mortgaged,0.3488011417310692,1.4597088066049357,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",No,No,Climate,Climate,Other,No,No,Climate,Climate,Climate,Climate,No,No,Other,No,Climate,No,No,Climate,8,8
FALSE_DATA,30,Male,White,Yes,Urban,GCSE,Manager/Prof,£1000-£1499,Quintile 2,Owned/Mortgaged,0.11433943168440776,0.4978810240545141,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes probably,Somewhat concerned,"Yes, for some of it",Not sure,No,ClimateOther,ClimateOther,No,Other,No,ClimateOther,ClimateOther,ClimateOther,Other,No,No,Other,No,No,ClimateOther,NA,No,6,6
FALSE_DATA,29,Female,White,Yes,Urban,Degree,Routine,£1000-£1499,Quin. 1/Least deprived,Rented,-0.30553720763421127,1.2283301348688527,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Other,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,No,No,No,No,No,Climate,NA,ClimateOther,9,9
