FALSE_DATA,ageAtBirth,ageAtQ,ethnicity,marital,rural,edu,occClass,income,imd,home,belief,identity,identity_denom,attend,lca,climateChanging,climateConcern,climateHumans,climateAction,travel,waste,energy,buy,airTravel,elecCar,localFood,recycle,plastic,sustainable,insulation,solar,veg,trees,avoidFossil,children,otherAction,meatDairy,totalActions,totalActions_reduced
FALSE_DATA,34,65,White,Married,Rural,Degree,III (non-manual),>400,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,Climate,Climate,Climate,No,No,No,No,Climate,Climate,No,Climate,No,No,No,No,No,No,No,6,5
FALSE_DATA,27,57,White,Married,Rural,O level,II,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for some of it",Not sure,No,ClimateOther,ClimateOther,Climate,No,No,Climate,Climate,Climate,Climate,No,Other,Other,No,No,No,No,Other,7,7
FALSE_DATA,33,62,White,Never married,Urban,A level,II,>400,Quintile 3,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",No,ClimateOther,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,No,No,Other,14,9
FALSE_DATA,40,71,White,Married,Rural,Degree,IV/V,>400,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Climate,ClimateOther,ClimateOther,ClimateOther,Climate,No,ClimateOther,ClimateOther,ClimateOther,ClimateOther,No,ClimateOther,Other,ClimateOther,NA,No,No,NA,NA,NA
FALSE_DATA,34,64,White,Married,Rural,A level,I,>400,Quintile 2,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Climate,ClimateOther,No,ClimateOther,Other,No,ClimateOther,ClimateOther,ClimateOther,ClimateOther,No,No,Other,No,No,No,No,ClimateOther,8,8
FALSE_DATA,28,59,White,Married,Urban,O level,III (manual),>400,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Climate,Other,No,No,Other,Other,Other,Climate,No,Other,No,No,Other,No,No,NA,No,2,2
FALSE_DATA,32,63,White,Married,Urban,A level,II,300 - 399,Quintile 3,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",NA,No,Climate,Climate,Climate,No,ClimateOther,Climate,Climate,Climate,Climate,No,No,No,No,No,No,No,No,8,7
FALSE_DATA,33,62,White,Married,Urban,O level,III (manual),300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,Catholic,Occasional/None,Agnostic,Yes probably,Not very concerned,"Yes, for some of it",Not sure,No,Other,Other,Other,Other,No,Climate,Climate,Climate,No,Climate,No,No,No,No,No,No,No,4,3
FALSE_DATA,26,55,White,Sep/Div/Widow,Urban,O level,II,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Other,Other,Other,No,No,Other,Other,Other,Other,No,No,No,No,No,No,No,No,0,0
FALSE_DATA,34,63,White,Sep/Div/Widow,Urban,Degree,II,>400,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Regular,Moderately religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Other,Climate,Other,No,No,Other,Other,Climate,Climate,No,No,Climate,No,No,No,NA,No,4,3
FALSE_DATA,44,74,White,Married,Urban,CSE/None,IV/V,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Climate,No,No,No,Climate,Climate,Climate,No,Climate,No,No,Other,No,No,No,No,6,5
FALSE_DATA,34,63,White,Married,Urban,Degree,I,>400,Quintile 2,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for some of it",Yes,No,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,Climate,No,Other,No,No,No,No,Other,9,7
FALSE_DATA,28,57,White,Married,Urban,A level,III (manual),100 - 199,Quintile 2,Owned/Mortgaged,Yes,Christian,Other,Occasional/None,Moderately religious,Yes definitely,Not very concerned,"Yes, for some of it",Yes,Other,No,Other,No,No,No,Other,Other,No,No,Other,No,No,No,No,No,No,No,0,0
